author,title,year,genre,country of origin,pages
Oscar Wilde,The Soul of man under Socialism,1891,philosophy,Ireland,29
,Nietzsche. Werk und Wirkungen,1974,philosophy,Germany,166
Christian Benne; Claus Zittel,Nietzsche und die Lyrik: Ein Kompendium,2017,philosophy,Germany,531
Ayn Rand,The Romantic Manifesto,1969,philosophy,USA,180
Ayn Rand,For the New Intellectual,1961,philosophy,USA,216
James Huneker,Egoists. A Book of Supermen,1909,philosophy,USA,255
Max Stirner,Der Einzige und sein Eigentum,1844,philosophy,Germany,412
,George-Jahrbuch. Band 2,1999,literary studies,Germany,220
Marita Keilson-Lauritz,Von der Liebe die Freundschaft heißt,1987,literary studies,Germany,144
Hans Bethge,Hölderlin,1900,biography,Germany,52
Frank Schirrmacher,Die Stunde der Welt,2017,biography,Germany,190
Wolfgang Emmerich,Paul Celan,1998,biography,Germany,180
John Felstiner,Paul Celan. Eine Biographie,2000,biography,USA,422
William Styron,Darkness Visible,1989,novel,USA,85
Knut Hamsun,Hunger,1888,novel,Norway,228
Albert Camus,Der Fremde,1942,novel,France,122
Stefan Zweig,Ungeduld des Herzens,1939,novel,Austria,453
Gunnar Kaiser,Unter der Haut,2018,novel,Germany,517
Søren Kierkegaard,Das Tagebuch des Verführers,1843,novel,Denmark,165
Wilhelm Waiblinger,Phaethon,1823,novel,Germany,266
Ayn Rand,Anthem,1938,novel,USA,105
Ayn Rand,We the Living,1936,novel,USA,498
Ayn Rand,The Fountainhead,1943,novel,USA,704
Marc-Uwe Kling,Die Känguru-Apokryphen,2018,short stories,Germany,199
Hans Bethge,Der gelbe Kater,1902,short stories,Germany,98
Hans Bethge,Syrinx. Ein Skizzenbuch,1895,short stories,Germany,55
Stefan Zweig,Sternstunden der Menschheit,1943,short stories,Austria,252
Stefan Zweig,Kleine Chronik,1929,short stories,Austria,46
Stefan Zweig,Amok. Novellen einer Leidenschaft,1922,short stories,Austria,114
Stefan Zweig,Erstes Erlebnis. Vier Geschichten aus Kinderland,1911,short stories,Austria,82
Stefan Zweig,Angst,1920,short stories,Austria,28
Stefan Zweig,Die Hochzeit von Lyon,1980,short stories,Austria,8
Stefan Zweig,Vierundzwanzig Stunden aus dem Leben einer Frau,1926,short stories,Austria,37
Stefan Zweig,Unvermutete Bekanntschaft mit einem Handwerk,1936,short stories,Austria,23
Hans Bethge,Sonnenuntergang,1900,drama,Austria,26
Σοφοκλής,Τραχίνιαι,-450,drama,Greece,52
Ὅμηρος,Ὀδύσσεια,-600,epic,Greece,346
Ferdinand Gregorovius,Euphorion,1858,epic,Germany,49
Rupi Kaur,Milk and Honey,2014,poetry,Canada,208
Arno Holz,Phantasus,1899,poetry,Germany,155
Hans Magnus Enzensberger,Gedichte,1963,poetry,Germany,91
Gerard Manley Hopkins,Poems,1918,poetry,England,273
Dagmar Nick,Märtyrer,1947,poetry,Germany,37
Theodor Däubler,Echo ohne Ende,,poetry,Austria,120
Theodor Däubler,Attische Sonette,1924,poetry,Austria,44
Rainer Maria Rilke,Gedichte. Band 2,,poetry,Austria,511
Max Kommerell,Gesammelte Gedichte,1946,poetry,Germany,340
Paulheinz Quack,Die Insel. Sonette,1946,poetry,Germany,47
Rolf Schilling,Scharlach und Schwan,1990,poetry,Germany,207
Rolf Schilling,Stunde des Widders,1990,poetry,Germany,239
Rolf Schilling,Questen-Gesang,1990,poetry,Germany,239
Rolf Schilling,Die Häupter der Hydra,1993,poetry,Germany,255
Rolf Schilling,Feuerlilie,1995,poetry,Germany,255
