author,title,year,genre,country of origin
Thomas Böhm; Carsten Pfeiffer,Die Wunderkammer der Deutschen Sprache,2019,linguistics,Germany
Friedrich Nietzsche,Der griechische Staat,1872,philosophy,Germany
Friedrich Nietzsche,Philosophie im tragischen Zeitalter der Griechen,1873,philosophy,Germany
Friedrich Nietzsche,Wissenschaft und Weisheit im Kampfe,1875,philosophy,Germany
Theodore Kaczynski,Industrial Society and its Future,1995,politics,USA
Ernst Jünger,Auf den Marmorklippen,1939,novel,Germany
Ernst Jünger,Afrikanische Spiele,1936,novel,Germany
Fjodor Dostojewski,Der Großinquisitor,1879,novel,Russia
Nicolás Gómez Dávila,Escolios a un Texto Implícito,1977,philosophy,Columbia
Rudolf Steiner,Friedrich Nietzsche. Ein Kämpfer gegen seine Zeit,1895,philosophy,Austria
Edgar Allan Poe,The Philosophy of Composition,1846,philosophy,USA
Mencius Moldbug,A Formalist Manifesto,2007,politics,USA
Stefan George,Einleitungen und Merksprüche der Blätter für die Kunst,1919,philosophy,Germany
